Week,Start_Date,End_Date,Start_Close,End_Close,Trading_Days,Total_Volume,article_count,positive_count,negative_count,Period_Return_pct,Mean_Sentiment
2024-10-19/2024-10-25,2024-10-21,2024-10-25,218.85000610351562,269.19000244140625,5,537640400,11.0,4.0,2.0,23.002053888031384,0.14627180316231467
2024-10-26/2024-11-01,2024-10-28,2024-11-01,262.510009765625,248.97999572753906,5,366289100,11.0,1.0,3.0,-5.154094523925334,-0.16535801237279718
2024-11-02/2024-11-08,2024-11-04,2024-11-08,242.83999633789062,321.2200012207031,5,625405600,9.0,4.0,0.0,32.27639847834356,0.3691089087062412
2024-11-09/2024-11-15,2024-11-11,2024-11-15,350.0,320.7200012207031,5,726819600,11.0,3.0,2.0,-8.365713936941965,0.08912056684494019
2024-11-16/2024-11-22,2024-11-18,2024-11-22,338.739990234375,352.55999755859375,5,428431200,9.0,0.0,4.0,4.079827514506529,-0.31138936016294694
2024-11-23/2024-11-29,2024-11-25,2024-11-29,338.5899963378906,345.1600036621094,4,253250800,10.0,1.0,1.0,1.940402077816361,0.010795778036117554
2024-11-30/2024-12-06,2024-12-02,2024-12-06,357.0899963378906,389.2200012207031,5,349924000,11.0,0.0,5.0,8.997733123951758,-0.3388904495672746
2024-12-07/2024-12-13,2024-12-09,2024-12-13,389.7900085449219,436.2300109863281,5,474962800,11.0,4.0,0.0,11.91410796155752,0.334193690256639
2024-12-14/2024-12-20,2024-12-16,2024-12-20,463.0199890136719,421.05999755859375,5,645429900,9.0,0.0,2.0,-9.062241901145907,-0.15182263321346706
2024-12-21/2024-12-27,2024-12-23,2024-12-27,430.6000061035156,431.6600036621094,4,291283100,9.0,2.0,2.0,0.24616756701552056,-0.011602461338043213
2024-12-28/2025-01-03,2024-12-30,2025-01-03,417.4100036621094,410.44000244140625,4,346900100,10.0,2.0,1.0,-1.6698213170629472,0.07411129474639892
2025-01-04/2025-01-10,2025-01-06,2025-01-10,411.04998779296875,394.739990234375,4,296542100,10.0,1.0,1.0,-3.967886642246665,0.017304396629333495
2025-01-11/2025-01-17,2025-01-13,2025-01-17,403.30999755859375,426.5,5,396847600,9.0,1.0,3.0,5.749920056974833,-0.1506001287036472
2025-01-18/2025-01-24,2025-01-21,2025-01-24,424.07000732421875,406.5799865722656,4,255401900,9.0,1.0,5.0,-4.124323920550532,-0.3313538796371884
